doc_id,relative_filename,byte_size,sha256,source_role
41381_2421401574_0601-02359,41381_2421401574_0601-02359.jpg,1295674,408ed80b24eec1c93f3d6dec73e4d91f9c63c869ea7f7520add2d5db47c3811f,source_document_jpeg
41381_2421401574_0601-02704,41381_2421401574_0601-02704.jpg,1363534,a11cc994eb42b54825066b7c2f20f68cf7adb3e5cb1f764936d46cbb419ce7f6,source_document_jpeg
41381_2421401696_0481-03176,41381_2421401696_0481-03176.jpg,1200296,4533698bbbb5510d81b29896744a94c5fc6fe4cf653cd471e14a6b62debf8e78,source_document_jpeg
41381_2421401696_0483-01846,41381_2421401696_0483-01846.jpg,1190180,71a5d023e35857c197dfb7d39fe88b17ed95c44136f2fdd0b09eb43a61578245,source_document_jpeg
41381_2421401696_0486-01013,41381_2421401696_0486-01013.jpg,1004538,4c95b641d8f560ad6f8e2e7012e3950dd6c260f6ba61aeef92bc9304b070230f,source_document_jpeg
41381_2421401696_0486-01227,41381_2421401696_0486-01227.jpg,1005912,f8223809b899dc91d6976b1836732d0dcff16e91af64c9fefa9f14fe1e7c7157,source_document_jpeg
41381_2421401696_0830-00461,41381_2421401696_0830-00461.jpg,831720,2a668851ec2acde6ffa70c1d86cd87bb2ac224f4eb87d8417176ff8be15bebf5,source_document_jpeg
41381_2421401696_0830-01230,41381_2421401696_0830-01230.jpg,1035063,1bc971e29161e911f281908d75114ab3c0df4de8c92e9e30ac1d997465280fd9,source_document_jpeg
41381_2421401696_0831-00242,41381_2421401696_0831-00242.jpg,1018803,bd891910c6937ad335cf01c47fb24bc5d1109cd355778d59456e43d2dffafcfe,source_document_jpeg
41381_2421401696_0831-01928,41381_2421401696_0831-01928.jpg,1079861,145ac284cbca5d64778101c7d5a07201d0fa337c1e159a3dcb1d3a6234bb337f,source_document_jpeg
41381_2421401696_0834-02179,41381_2421401696_0834-02179.jpg,988921,d8edd13edd435da5dea89a9ca004bad60817791f26db4ecf243d6c4056ea3321,source_document_jpeg
41381_2421401696_0836-01175,41381_2421401696_0836-01175.jpg,1022926,bb764d0944117610e69c570ae9c6feb4d487b4c8b5264c392633130cfd1515bb,source_document_jpeg
41381_2421401696_0836-01232,41381_2421401696_0836-01232.jpg,1091383,71e316bbec36acaca80935c90ca02842631dd1af2a398ef262bd72957aa6b3f4,source_document_jpeg
